1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.122,0.10054,0.10054,0.10054,0.10054,0.10054,2.9872e-05,0.046394,0.10054,0.10176,0.075384,0.024321,0.049189,0.10054,0.20945,0.41856
0.123,0.098575,0.098575,0.098575,0.098575,0.098575,2.6596e-05,0.044866,0.098575,0.10042,0.074609,0.023839,0.048219,0.098575,0.20545,0.41088
0.124,0.096657,0.096657,0.096657,0.096657,0.096657,2.3677e-05,0.04339,0.096657,0.099098,0.073847,0.023368,0.047271,0.096657,0.20154,0.40335
0.125,0.09478,0.09478,0.09478,0.09478,0.09478,2.1077e-05,0.041964,0.09478,0.097803,0.073097,0.022907,0.046344,0.09478,0.19771,0.39598
0.126,0.092945,0.092945,0.092945,0.092945,0.092945,1.8761e-05,0.040586,0.092945,0.096531,0.072359,0.022456,0.045437,0.092945,0.19397,0.38876
0.127,0.091149,0.091149,0.091149,0.091149,0.091149,1.6697e-05,0.039254,0.091149,0.09528,0.071633,0.022015,0.044549,0.091149,0.1903,0.38169
0.128,0.089392,0.089392,0.089392,0.089392,0.089392,1.4859e-05,0.037967,0.089392,0.09405,0.070918,0.021584,0.043682,0.089392,0.18671,0.37476
0.129,0.087673,0.087673,0.087673,0.087673,0.087673,1.3223e-05,0.036723,0.087673,0.092842,0.070215,0.021163,0.042833,0.087673,0.18319,0.36796
0.13,0.085991,0.085991,0.085991,0.085991,0.085991,1.1765e-05,0.03552,0.085991,0.091653,0.069522,0.02075,0.042002,0.085991,0.17975,0.36131
0.131,0.084344,0.084344,0.084344,0.084344,0.084344,1.0467e-05,0.034358,0.084344,0.090485,0.06884,0.020347,0.04119,0.084344,0.17638,0.35478
0.132,0.082733,0.082733,0.082733,0.082733,0.082733,9.3119e-06,0.033234,0.082733,0.089336,0.068169,0.019952,0.040394,0.082733,0.17308,0.34839
0.133,0.081155,0.081155,0.081155,0.081155,0.081155,8.2832e-06,0.032148,0.081155,0.088206,0.067507,0.019566,0.039616,0.081155,0.16985,0.34213
0.134,0.079611,0.079611,0.079611,0.079611,0.079611,7.3674e-06,0.031098,0.079611,0.087095,0.066856,0.019188,0.038855,0.079611,0.16668,0.33598
0.135,0.078099,0.078099,0.078099,0.078099,0.078099,6.5522e-06,0.030083,0.078099,0.086001,0.066215,0.018818,0.03811,0.078099,0.16358,0.32996
0.136,0.076619,0.076619,0.076619,0.076619,0.076619,5.8266e-06,0.029102,0.076619,0.084926,0.065582,0.018456,0.03738,0.076619,0.16054,0.32406
0.137,0.07517,0.07517,0.07517,0.07517,0.07517,5.1809e-06,0.028153,0.07517,0.083868,0.06496,0.018101,0.036666,0.07517,0.15757,0.31827
0.138,0.073751,0.073751,0.073751,0.073751,0.073751,4.6063e-06,0.027236,0.073751,0.082826,0.064346,0.017754,0.035967,0.073751,0.15465,0.31259
0.139,0.072361,0.072361,0.072361,0.072361,0.072361,4.095e-06,0.026349,0.072361,0.081802,0.063742,0.017415,0.035282,0.072361,0.1518,0.30703
0.14,0.071,0.071,0.071,0.071,0.071,3.6401e-06,0.025491,0.071,0.080793,0.063146,0.017082,0.034612,0.071,0.149,0.30157
0.141,0.069667,0.069667,0.069667,0.069667,0.069667,3.2354e-06,0.024661,0.069667,0.079801,0.062558,0.016757,0.033956,0.069667,0.14626,0.29622
0.142,0.068362,0.068362,0.068362,0.068362,0.068362,2.8754e-06,0.023859,0.068362,0.078824,0.061979,0.016438,0.033313,0.068362,0.14357,0.29097
0.143,0.067083,0.067083,0.067083,0.067083,0.067083,2.5552e-06,0.023083,0.067083,0.077863,0.061409,0.016126,0.032683,0.067083,0.14094,0.28582
0.144,0.06583,0.06583,0.06583,0.06583,0.06583,2.2704e-06,0.022333,0.06583,0.076916,0.060846,0.01582,0.032067,0.06583,0.13836,0.28077
0.145,0.064602,0.064602,0.064602,0.064602,0.064602,2.0172e-06,0.021608,0.064602,0.075984,0.060291,0.015521,0.031463,0.064602,0.13583,0.27582
0.146,0.0634,0.0634,0.0634,0.0634,0.0634,1.792e-06,0.020906,0.0634,0.075066,0.059744,0.015228,0.030872,0.0634,0.13335,0.27096
0.147,0.062221,0.062221,0.062221,0.062221,0.062221,1.5918e-06,0.020227,0.062221,0.074162,0.059204,0.014941,0.030293,0.062221,0.13092,0.2662
0.148,0.061067,0.061067,0.061067,0.061067,0.061067,1.4138e-06,0.01957,0.061067,0.073272,0.058672,0.01466,0.029725,0.061067,0.12854,0.26152
0.149,0.059935,0.059935,0.059935,0.059935,0.059935,1.2555e-06,0.018935,0.059935,0.072396,0.058147,0.014384,0.029169,0.059935,0.1262,0.25693
0.15,0.058827,0.058827,0.058827,0.058827,0.058827,1.1149e-06,0.018321,0.058827,0.071532,0.057629,0.014114,0.028624,0.058827,0.12391,0.25243
0.151,0.05774,0.05774,0.05774,0.05774,0.05774,9.899e-07,0.017727,0.05774,0.070682,0.057118,0.01385,0.02809,0.05774,0.12167,0.24801
0.152,0.056675,0.056675,0.056675,0.056675,0.056675,8.7883e-07,0.017152,0.056675,0.069844,0.056614,0.013591,0.027567,0.056675,0.11946,0.24368
0.153,0.055631,0.055631,0.055631,0.055631,0.055631,7.8013e-07,0.016596,0.055631,0.069019,0.056117,0.013337,0.027055,0.055631,0.11731,0.23942
0.154,0.054608,0.054608,0.054608,0.054608,0.054608,6.9244e-07,0.016058,0.054608,0.068205,0.055626,0.013088,0.026552,0.054608,0.11519,0.23525
0.155,0.053605,0.053605,0.053605,0.053605,0.053605,6.1454e-07,0.015538,0.053605,0.067404,0.055141,0.012844,0.02606,0.053605,0.11311,0.23115
0.156,0.052621,0.052621,0.052621,0.052621,0.052621,5.4534e-07,0.015035,0.052621,0.066614,0.054663,0.012605,0.025578,0.052621,0.11108,0.22713
0.157,0.051657,0.051657,0.051657,0.051657,0.051657,4.8388e-07,0.014548,0.051657,0.065836,0.054192,0.012371,0.025105,0.051657,0.10908,0.22318
0.158,0.050712,0.050712,0.050712,0.050712,0.050712,4.293e-07,0.014076,0.050712,0.065069,0.053726,0.012141,0.024641,0.050712,0.10712,0.21931
0.159,0.049786,0.049786,0.049786,0.049786,0.049786,3.8083e-07,0.013621,0.049786,0.064313,0.053266,0.011917,0.024187,0.049786,0.1052,0.2155
0.16,0.048877,0.048877,0.048877,0.048877,0.048877,3.378e-07,0.013179,0.048877,0.063568,0.052812,0.011696,0.023741,0.048877,0.10332,0.21177
0.161,0.047986,0.047986,0.047986,0.047986,0.047986,2.9959e-07,0.012753,0.047986,0.062834,0.052364,0.01148,0.023304,0.047986,0.10147,0.20811
0.162,0.047112,0.047112,0.047112,0.047112,0.047112,2.6567e-07,0.01234,0.047112,0.06211,0.051921,0.011268,0.022876,0.047112,0.099654,0.20451
0.163,0.046256,0.046256,0.046256,0.046256,0.046256,2.3557e-07,0.01194,0.046256,0.061396,0.051484,0.01106,0.022456,0.046256,0.097874,0.20097
0.164,0.045415,0.045415,0.045415,0.045415,0.045415,2.0885e-07,0.011554,0.045415,0.060692,0.051052,0.010857,0.022045,0.045415,0.096129,0.19751
0.165,0.044591,0.044591,0.044591,0.044591,0.044591,1.8515e-07,0.01118,0.044591,0.059998,0.050626,0.010657,0.021641,0.044591,0.094416,0.1941
0.166,0.043783,0.043783,0.043783,0.043783,0.043783,1.6411e-07,0.010818,0.043783,0.059314,0.050205,0.010461,0.021245,0.043783,0.092736,0.19076
0.167,0.04299,0.04299,0.04299,0.04299,0.04299,1.4545e-07,0.010468,0.04299,0.058639,0.049789,0.010269,0.020857,0.04299,0.091087,0.18748
0.168,0.042213,0.042213,0.042213,0.042213,0.042213,1.2889e-07,0.010129,0.042213,0.057974,0.049378,0.010081,0.020477,0.042213,0.089469,0.18425
0.169,0.04145,0.04145,0.04145,0.04145,0.04145,1.142e-07,0.0098008,0.04145,0.057318,0.048972,0.0098964,0.020103,0.04145,0.087881,0.18109
0.17,0.040702,0.040702,0.040702,0.040702,0.040702,1.0118e-07,0.0094835,0.040702,0.05667,0.048571,0.0097154,0.019737,0.040702,0.086323,0.17798
0.171,0.039968,0.039968,0.039968,0.039968,0.039968,8.963e-08,0.0091764,0.039968,0.056032,0.048175,0.0095379,0.019378,0.039968,0.084794,0.17492
0.172,0.039248,0.039248,0.039248,0.039248,0.039248,7.9389e-08,0.0088793,0.039248,0.055402,0.047783,0.0093638,0.019026,0.039248,0.083293,0.17192
0.173,0.038541,0.038541,0.038541,0.038541,0.038541,7.031e-08,0.0085918,0.038541,0.054781,0.047397,0.009193,0.01868,0.038541,0.08182,0.16898
